,AUTHOR,TITLE,GENRE,PUB_DATE,ISBN,FILE_NAME
45,Stan Tenen,The Alphabet That Changed the World,Nonfiction,2011-07-05,9781556437236,0045.txt
46,Melanie Melton Knocke,From Blue Moons To Black Holes,Nonfiction,2005-05-06,9781591022886,0046.txt
47,Wendy Orr,Nim's Island,Children’s Books,2008-02-12,9780385736060,0047.txt
48,Sharyn McCrumb,Missing Susan,Fiction,1995-03-01,9780345483591,0048.txt
49,M.T. Anderson,Strange Mr. Satie: Composer of the Absurd,Children’s Books,2016-03-08,9780763687755,0049.txt
50,Gottfried Bammes,Complete Guide to Drawing Animals,Nonfiction,2013-07-01,9781844489213,0050.txt
51,Gerald Durrell,The Whispering Land,Nonfiction,2006-05-30,9780143037088,0051.txt
52,Bob Proehl,A Hundred Thousand Worlds,Fiction,2017-06-06,9780399562235,0052.txt
53,Mary Daheim,The Alpine Fury,Fiction,1995-10-30,9780345388438,0053.txt
54,"Evelyn McFarlane, James Saywell","If..., Volume 2",Nonfiction,1996-10-08,9780679452867,0054.txt
55,RH Disney,The Jungle Book (Disney The Jungle Book),Children’s Books,2003-01-07,9780736420969,0055.txt
56,Thurston Clarke,JFK's Last Hundred Days,Nonfiction,2014-07-29,9780143125730,0056.txt
57,Robert Kurson,Crashing Through,Nonfiction,2008-08-19,9780812973686,0057.txt
58,"Bryan Franklin, Michael Ellsberg",The Last Safe Investment,Nonfiction,2016-01-05,9781591846116,0058.txt
59,Graham Thomas,Malice in the Highlands,Fiction,2009-03-04,9780307557735,0059.txt
60,"Edward M. Buckner, Michael E. Buckner",In Freedom We Trust,Nonfiction,2012-12-18,9781616146443,0060.txt
61,Gaelen Foley,His Wicked Kiss,Fiction,2006-04-25,9780345480101,0061.txt
62,Loreen Leedy,Step by Step,Children’s Books,2018-05-08,9780823439393,0062.txt
63,Louis L'Amour,Dutchman's Flat,Fiction,1986-02-01,9780553281118,0063.txt
64,Dennis Toombs,Power,Nonfiction,2016-07-19,9781633881914,0064.txt
65,Peter Lovenheim,In the Neighborhood,Nonfiction,2011-04-05,9780399536472,0065.txt
66,"Chris Carter, Roy Thomas, Glenn Morgan, James Wong, Howard Gordon",X-Files Classics: Season 1 Volume 1,Fiction,2014-10-21,9781631401152,0066.txt
67,Ulrich Boser,Learn Better,Nonfiction,2017-03-07,9781623365264,0067.txt
68,Maggie Furey,Echo of Eternity,Fiction,2003-07-01,9780553585759,0068.txt
69,Mike Stadler,The Psychology of Baseball,Nonfiction,2007-04-05,9781440623257,0069.txt
70,"June Biermann, Virginia Valentine, Barbara Toohey",Diabetes: the New Type 2,Nonfiction,2008-09-11,9781585426706,0070.txt
71,Catherine Anderson,Three Coulter Family Novels,Fiction,2012-08-07,9781101644607,0071.txt
72,A.S. King,Please Ignore Vera Dietz,Teen & Young Adult,2012-04-10,9780375865640,0072.txt
73,Chanel Cleeton,Playing with Trouble,Fiction,2015-07-21,9780698193642,0073.txt
74,Helen Walsh,The Lemon Grove,Fiction,2015-05-12,9780804170161,0074.txt
75,C.M. Palov,The Templar's Code,Fiction,2010-11-02,9780425237731,0075.txt
76,P. N. Elrod,"The Vampire Files, Volume Two",Fiction,2006-09-05,9780441014279,0076.txt
77,"Michael J. Silverstein, Neil Fiske, John Butman",Trading Up,Nonfiction,2008-04-29,9781591840701,0077.txt
78,Countess Fiona Carnarvon,The Women of the Real Downton Abbey,Nonfiction,2013-10-29,9780804140874,0078.txt
79,Lisa Moser,Stories from Bug Garden,Children’s Books,2016-03-22,9780763665340,0079.txt
80,Bharati Mukherjee,Leave It to Me,Fiction,1998-09-14,9780449003961,0080.txt
81,Ali Cronin,"Harry Styles: The Biography, Offstage",Children’s Books,2017-08-29,9781524787981,0081.txt
82,Hope Jahren,Lab Girl,Nonfiction,2017-02-28,9781101873724,0082.txt
83,Daniel Silva,The English Assassin,Fiction,2003-02-25,9780451208187,0083.txt
84,"David Brin, Kevin Lenagh",Contacting Aliens,Fiction,2002-06-25,9780553377965,0084.txt
85,Thomas Trofimuk,Waiting for Columbus,Fiction,2010-10-05,9780307456199,0085.txt
86,Drew Karpyshyn,Chaos Unleashed,Fiction,2015-10-13,9780345549372,0086.txt
87,Golden Books,Friends for Life (Secret Life of Pets),Children’s Books,2016-05-31,9780399554889,0087.txt
88,Catherine Storr,The Complete Polly and the Wolf,Children’s Books,2016-10-04,9781681370019,0088.txt
89,"Dr. Martin Luther King, Jr.",The Radical King,Nonfiction,2016-01-12,9780807034521,0089.txt
90,"Paul D. White, Ron Arias",White's Rules,Nonfiction,2007-03-27,9780767927833,0090.txt
91,R.E.G. Davies,Airlines of the Jet Age,Nonfiction,2016-08-24,9781944466077,0091.txt
92,David Lock,DK Readers L1: Animals at Home,Children’s Books,2007-08-20,9780756631383,0092.txt
93,Kim Jones,Sinner's Revenge,Fiction,2016-07-19,9781101987728,0093.txt
94,Karen Harper,The Choice,Fiction,2011-07-05,9781101536759,0094.txt
95,Sylvia Browne,Visits from the Afterlife,Nonfiction,2004-09-07,9780451213273,0095.txt
96,Barb Rosenstock,Blue Grass Boy,Children’s Books,2018-03-06,9781629794396,0096.txt
97,DK,Children's Book of Mythical Beasts and Magical Monsters,Children’s Books,2018-06-12,9781465474629,0097.txt
98,Laura Childs,Photo Finished,Fiction,2004-01-06,9780425194348,0098.txt
99,Rosemary Wells,Max's Half Birthday,Children’s Books,2018-03-06,9780515157475,0099.txt
100,M. K. Hobson,The Hidden Goddess,Fiction,2011-04-26,9780553592665,0100.txt
101,Jason Thompson,King of RPGs 2,Teen & Young Adult,2012-04-10,9780345539359,0101.txt
102,Sally Warner,EllRay Jakes Is Magic,Children’s Books,2014-03-06,9780142423608,0102.txt
103,Bo Hampton,Riven,Fiction,2012-09-18,9781621155478,0103.txt
104,Naguib Mahfouz,The Beginning and the End,Fiction,1989-09-20,9780385264587,0104.txt
105,Kate Elliott,In the Ruins,Fiction,2018-07-31,9780756414269,0105.txt
106,Levi Pinfold,The Django,Children’s Books,2010-03-09,9780763647889,0106.txt
107,"Kim Zimmer, Laura Morton",I'm Just Sayin'!,Nonfiction,2012-08-07,9780451234902,0107.txt
108,Vicki Lane,In a Dark Season,Fiction,2008-05-20,9780440243601,0108.txt
109,Matthew Desmond,Evicted,Nonfiction,2017-02-28,9780553447453,0109.txt
110,Rayya Elias,Harley Loco,Nonfiction,2014-03-25,9780143125051,0110.txt
111,Chinua Achebe,Arrow of God,Fiction,2016-08-16,9780385014809,0111.txt
112,Roger Hargreaves,Mr. Muddle,Children’s Books,2010-06-10,9780698177659,0112.txt
113,Maya Banks,Fever,Fiction,2013-04-02,9780425267066,0113.txt
114,Kathleen Duey,"Hoofbeats: Margret and Flynn, 1875",Children’s Books,2008-04-17,9781440632341,0114.txt
115,Gotham Chopra,Familiar Strangers,Nonfiction,2002-05-21,9780385505512,0115.txt
116,Qiu Xiaolong,When Red Is Black,Fiction,2005-08-01,9781569473962,0116.txt
117,Jack Batten,Silent in an Evil Time,Children’s Books,2007-10-09,9780887767371,0117.txt
118,Jonathan Lethem,Dissident Gardens,Fiction,2014-06-03,9780307744494,0118.txt
119,Terry Caszatt,Brass Monkeys,Children’s Books,2011-02-01,9781607345008,0119.txt
120,Anne McCaffrey,The Tower and the Hive,Fiction,2000-05-01,9780441007202,0120.txt
121,"Paul Stewart, Chris Riddell",Far-Flung Adventures: Fergus Crane,Children’s Books,2011-08-09,9780385751124,0121.txt
122,Susan Brackney,Plan Bee,Nonfiction,2010-05-04,9780399535987,0122.txt
123,Donald Moyer,Yoga for Healthy Feet,Nonfiction,2016-04-12,9781930485372,0123.txt
124,Hall Gardner,World War Trump,Nonfiction,2018-03-06,9781633883956,0124.txt
125,Golden Books,Follow Your Dreams (Barbie),Children’s Books,2014-01-07,9780385375092,0125.txt
126,David Biedrzycki,Me and My Dragon: Christmas Spirit,Children’s Books,2015-10-13,9781580896221,0126.txt
127,Shaunta Grimes,Viral Nation,Fiction,2013-07-02,9780425265130,0127.txt
128,Mark Bolitho,Start Origami,Nonfiction,2011-12-01,9781844487387,0128.txt
129,"Gail Karlitz, Debbie Honig",Growing Money,Children’s Books,2010-09-23,9780843199055,0129.txt
130,Martin Widmark,The Gold Mystery #8,Children’s Books,2016-08-16,9780451533043,0130.txt
131,Karleen Koen,Now Face to Face,Fiction,2008-01-08,9780307406088,0131.txt
132,David Montgomery,Beyond Equality,Nonfiction,2013-02-06,9780307828026,0132.txt
133,Herman Melville,The Piazza Tales,Classics,2000-11-01,9780679641711,0133.txt
134,Maira Kalman,Looking at Lincoln,Children’s Books,2017-01-03,9780147517982,0134.txt
135,Rebecca Balchin,The Angel & Fairy Colouring Book,Nonfiction,2014-12-22,9781782212126,0135.txt
136,Aijaz Ahmad,Lineages of the Present,Nonfiction,2002-05-17,9781859843581,0136.txt
137,Susan Packard,New Rules of the Game,Nonfiction,2016-02-16,9780735205383,0137.txt
138,Nuala O'Faolain,My Dream of You,Fiction,2002-02-05,9781573229081,0138.txt
139,John Robbins,The New Good Life,Nonfiction,2010-05-25,9780345520234,0139.txt
140,Monica Kulling,Merci Mister Dash!,Children’s Books,2011-04-12,9780887769641,0140.txt
141,Deirdre Shaw,Love or Something Like It,Fiction,2009-04-14,9781588367891,0141.txt
142,David Eddings,Sapphire Rose,Fiction,1992-11-23,9780345374721,0142.txt
143,Michael Wallner,The Russian Affair,Fiction,2012-04-03,9780307475039,0143.txt
144,Mark Mynheir,Rolling Thunder,Fiction,2010-05-12,9780307563378,0144.txt
145,Sue Bentley,A Christmas Surprise,Children’s Books,2008-09-11,9780448450018,0145.txt
146,Marge Piercy,The Art of Blessing the Day,Poetry,2000-09-19,9780375704314,0146.txt
147,Harry Turtledove,"Counting Up, Counting Down",Fiction,2005-03-01,9780345477989,0147.txt
148,Adele Griffin,Where I Want to Be,Teen & Young Adult,2007-09-06,9780142409480,0148.txt
149,"Les Martin, Edgar Allan Poe",Tales of Terror,Children’s Books,2010-11-24,9780307758972,0149.txt
150,Sigmund Freud,The Interpretation of Dreams,Classics,1994-03-22,9780679601210,0150.txt
151,"Stephanie Barron, Lauren Bergman",Ken Price Sculpture,Nonfiction,2012-07-24,9783791352558,0151.txt
152,Gail Gibbons,Christmas Is...,Children’s Books,2002-09-01,9780823417674,0152.txt
153,Liz Curtis Higgs,Grace in Thine Eyes,Fiction,2006-03-21,9781578562596,0153.txt
154,Kyoko Mori,Shizuko's Daughter,Teen & Young Adult,1994-05-01,9780449704332,0154.txt
155,Eugenia Price,Getting Through the Night:  Finding Your Way After the Loss of a Loved One,Nonfiction,1986-08-12,9780345341969,0155.txt
156,J. Kenner,Dirtiest Secret,Fiction,2016-04-19,9781101967454,0156.txt
157,Sheila Connolly,Rotten to the Core,Fiction,2009-07-07,9780425228760,0157.txt
158,"Xiuhtezcatl Martinez, Justin Spizman",We Rise,Nonfiction,2017-09-05,9781635650679,0158.txt
159,Jonah Winter,Muhammad Ali: Champion of the World,Children’s Books,2012-12-19,9780307983541,0159.txt
160,James S.A. Corey,Honor Among Thieves: Star Wars Legends,Fiction,2015-02-24,9780345546876,0160.txt
161,Barbara Sleigh,Carbonel and Calidor,Children’s Books,2009-10-27,9781590173336,0161.txt
162,Ann Purser,Weeping on Wednesday,Fiction,2005-02-01,9780425201435,0162.txt
163,Brandon M. Stickney,All-American Monster,Nonfiction,1996-09-01,9781573920889,0163.txt
164,"Stan Berenstain, Jan Berenstain",The Berenstain Bears Blaze a Trail,Children’s Books,1987-10-12,9780394891323,0164.txt
165,Eileen Truax,We Built the Wall,Nonfiction,2018-06-26,9781786632173,0165.txt
166,Isabel Rose,The J.A.P. Chronicles,Fiction,2005-05-17,9780385515849,0166.txt
167,Shelley Freydont,A Golden Cage,Fiction,2016-06-07,9780425275856,0167.txt
168,Philippa Leathers,The Tiptoeing Tiger,Children’s Books,2018-02-06,9780763688431,0168.txt
169,"Dr. Peter J. D'Adamo, Catherine Whitney",Menopause: Manage Its Symptoms with the Blood Type Diet,Nonfiction,2006-12-05,9780425212080,0169.txt
170,Kurt Vonnegut,"If This Isn't Nice What Is?, (Much) Expanded Second Edition",Classics,2016-04-26,9781609806972,0170.txt
171,Ajahn Chah,Being Dharma,Nonfiction,2001-10-09,9781570628085,0171.txt
172,Deborah Heiligman,Holidays Around the World: Celebrate Christmas,Children’s Books,2016-07-12,9781426324741,0172.txt
173,"Douglas Yacka, Francesco Sedita",The Golden Girls Mad Libs,Children’s Books,2017-03-07,9780451534033,0173.txt
174,Patricia Briggs,The Hob's Bargain,Fiction,2001-03-01,9780441008131,0174.txt
175,Tomie dePaola,"I Love You, Sun, I Love You, Moon",Children’s Books,1994-09-21,9780399226281,0175.txt
176,Katharine Kerr,Water to Burn,Fiction,2011-08-02,9780756406912,0176.txt
177,Various,Little Golden Book Nursery Tales,Children’s Books,2017-09-12,9780553536676,0177.txt
178,Christopher Moore,Champlain,Children’s Books,2004-08-24,9780887766572,0178.txt
179,"Christine McGuire, Carla Norton",Perfect Victim,Nonfiction,1989-07-01,9780440204428,0179.txt
180,Ellias Lonsdale,Inside Degrees,Nonfiction,1997-07-08,9781556432415,0180.txt
181,Kathy Troccoli,Live Like You Mean It,Nonfiction,2006-01-24,9780307730664,0181.txt
182,Michelle Sagara,Grave,Fiction,2018-02-06,9780756412876,0182.txt
183,Stephen Wright,Going Native,Fiction,2005-04-12,9781400079421,0183.txt
184,David Gemmell,White Wolf,Fiction,2004-03-02,9780345458322,0184.txt
185,Geoff Dyer,Another Great Day at Sea,Nonfiction,2015-04-07,9780804170208,0185.txt
186,Albert Schweitzer,The Mystery of the Kingdom of God,Nonfiction,1985-09-01,9780879752941,0186.txt
187,James Roberts,Transformers: More Than Meets The Eye Volume 4,Fiction,2013-07-30,9781613776919,0187.txt
188,Lilach German,"Cookies, Cookies & More Cookies!",Nonfiction,2012-07-01,9781936140855,0188.txt
189,Brittni Vega,Harlow & Sage (and Indiana),Nonfiction,2014-10-02,9780399172878,0189.txt
190,Christopher Morgan Jones,The Jackal's Share,Fiction,2013-02-21,9781101605899,0190.txt
191,DK,Baby Touch and Feel: Things That Go,Children’s Books,2009-12-07,9780756658410,0191.txt
192,Roman Muradov,(In A Sense) Lost And Found,Fiction,2014-09-16,9781907704956,0192.txt
193,"Susan Kleiner, Jeff O'Connell",The Powerfood Nutrition Plan,Nonfiction,2006-05-30,9781594862359,0193.txt
194,Melissa Lagonegro,A Mother's Love (Disney/Pixar Brave),Children’s Books,2013-11-27,9780385388245,0194.txt
195,Jonah Keri,"Up, Up, and Away",Nonfiction,2015-03-03,9780307361363,0195.txt
196,"Gomdori Co, Hyun-Dong Han","Survive! Inside the Human Body, Vol. 1",Nonfiction,2013-10-04,9781593274719,0196.txt
197,Hanmin Kim,Tiptoe Tapirs,Children’s Books,2015-07-20,9780823433957,0197.txt
198,Ruth Padel,Darwin,Poetry,2012-10-09,9780375711923,0198.txt
199,"Chester Nez, Judith Schiess Avila",The Life and Times of the Code Talker,Nonfiction,2012-12-04,9781101608425,0199.txt
200,Holly Goldberg Sloan,Appleblossom the Possum,Children’s Books,2016-08-02,9780147512802,0200.txt
201,John Shirley,Demons,Fiction,2003-04-01,9780345446497,0201.txt
202,Paul Verhoeven,Jesus of Nazareth,Nonfiction,2011-11-29,9781609803483,0202.txt
203,Karen Robards,Guilty,Fiction,2009-03-31,9780451226693,0203.txt
204,Alan Dean Foster,The Candle of Distant Earth,Fiction,2007-07-31,9780345461339,0204.txt
205,Jarrett J. Krosoczka,Ollie the Purple Elephant,Children’s Books,2011-10-11,9780375866548,0205.txt
206,Guy P. Harrison,Think Before You Like,Nonfiction,2017-11-14,9781633883512,0206.txt
207,Elan Mastai,All Our Wrong Todays,Fiction,2018-02-20,9781101985151,0207.txt
208,Kathryn Harrison,Saint Therese of Lisieux,Nonfiction,2003-09-04,9781415912690,0208.txt
209,"Jesse Lynn Hanley, Nancy Deville",Tired of Being Tired,Nonfiction,2002-11-05,9780425184592,0209.txt
210,Jon Sharpe,The Trailsman #377,Fiction,2013-03-05,9780451415745,0210.txt
211,Dean Koontz,Seize the Night,Fiction,2012-07-31,9780345533432,0211.txt
212,Jack Cole,Jack Cole's Deadly Horror,Fiction,2013-10-15,9781613776568,0212.txt
213,Geraldine Elschner,The Cat and the Bird,Children’s Books,2012-03-20,9783791370996,0213.txt
214,Roald Dahl,The BFG: a Set of Plays,Children’s Books,2007-02-01,9780142407929,0214.txt
215,Chris Barton,Can I See Your I.D.?: True Stories of False Identities,Teen & Young Adult,2011-04-14,9781101476369,0215.txt
216,Karen Traviss,Order 66: Star Wars Legends (Republic Commando),Fiction,2009-05-19,9780345513854,0216.txt
217,James Clavell,The Children's Story,Fiction,1989-10-02,9780440204688,0217.txt
218,John Ritter,Fenway Fever,Children’s Books,2013-03-07,9780142424919,0218.txt
219,Melissa Lagonegro,The Golden Gecko (Disney Elena of Avalor),Children’s Books,2017-07-11,9780736437219,0219.txt
220,Randal Keynes,Creation,Nonfiction,2009-11-25,9781594484742,0220.txt
221,Dennis L. McKiernan,Once Upon an Autumn Eve,Fiction,2007-05-01,9781101043745,0221.txt
222,Belva Plain,Promises,Fiction,1997-04-07,9780440216872,0222.txt
223,Marilyn Kaye,Another Amy (Replica #3),Children’s Books,2013-09-25,9780804150095,0223.txt
224,Mariam Gates,This Moment Is Your Life (and So Is This One),Children’s Books,2018-05-22,9780399186622,0224.txt
225,Carrie Harris,Bad Yeti,Teen & Young Adult,2012-11-13,9780449817728,0225.txt
226,Golden Books,The Golden Children's Bible,Children’s Books,1999-10-01,9780307165206,0226.txt
227,Jennie Allen,Nothing to Prove,Nonfiction,2018-02-06,9781601429629,0227.txt
228,Christiane Weidemann,50 Women Artists You Should Know,Nonfiction,2017-11-28,9783791383613,0228.txt
229,Gil Reavill,"Aftermath, Inc.",Nonfiction,2007-05-17,9781101216897,0229.txt
230,Julia Leigh,The Hunter,Fiction,2001-12-01,9780142000021,0230.txt
231,"Art Wolfe, Martha Hill",The New Art of Photographing Nature,Nonfiction,2013-04-02,9780770433154,0231.txt
232,Willa Strayhorn,The Way We Bared Our Souls,Teen & Young Adult,2015-01-22,9780698137240,0232.txt
233,Katharine Ibbs,DK Children's Cookbook,Nonfiction,2004-10-04,9780756605971,0233.txt
234,Will Schwalbe,Books for Living,Classics,2017-09-05,9780804172752,0234.txt
235,Deborah Mitchell,Safe Foods,Nonfiction,2004-10-05,9781101210154,0235.txt
236,Nanami Shiono,The Battle of Lepanto,Fiction,2007-01-23,9781932234336,0236.txt
237,"Jill Abramson, Jane O'Connor",Holiday Helper,Children’s Books,2014-10-16,9780448456775,0237.txt
238,Stuart Woods,Short Straw,Fiction,2007-05-01,9780451220844,0238.txt
239,Jacob McArthur Mooney,The New Layman's Almanac,Poetry,2008-03-18,9780771054075,0239.txt
240,Various,The Chronicles of Conan Volume 28: Blood and Ice and Other Stories,Fiction,2014-12-09,9781616553746,0240.txt
241,John Philpin,The Murder Channel,Fiction,2009-10-21,9780307573674,0241.txt
242,Alice Brière-Haquet,Nina,Children’s Books,2017-11-28,9781580898270,0242.txt
243,"Antony Beevor, Artemis Cooper",Paris After the Liberation 1944-1949,Nonfiction,2004-08-31,9780142437926,0243.txt
244,Barrie Summy,I So Don't Do Famous,Children’s Books,2012-03-27,9780385737913,0244.txt
245,Masashi Tanaka,Gon 2,Children’s Books,2011-10-11,9781935429401,0245.txt
246,David Young,Field of Light and Shadow,Poetry,2011-05-31,9780307599612,0246.txt
247,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),Humor,2012-09-18,9780307886279,0247.txt
248,Tabor Evans,Longarm 263: Longarm on a Bloody Vendetta,Fiction,2000-10-01,9781101179031,0248.txt
249,Porter Shimer,New Hope for People with Alzheimer's and Their Caregivers,Nonfiction,2002-06-25,9780761535072,0249.txt
250,Phyllis Tickle,The Divine Hours (Volume Three): Prayers for Springtime,Nonfiction,2006-01-17,9780385505574,0250.txt
251,Louisa May Alcott,Little Women,Children’s Books,1994-07-05,9780679861751,0251.txt
252,DK Travel,Top 10 Honolulu and O'ahu,Nonfiction,2018-07-17,9781465468819,0252.txt
253,Dale Peck,Now It's Time to Say Goodbye,Fiction,2015-07-07,9781616955649,0253.txt
254,Ellen Meiksins Wood,Peasant-Citizen and Slave,Nonfiction,2015-11-03,9781784781026,0254.txt
255,Ronald Blythe,Akenfield,Nonfiction,2015-09-22,9781590178300,0255.txt
256,Arthur Bowie Chrisman,Shen of the Sea,Children’s Books,1968-10-30,9780525392446,0256.txt
257,Stephen Coates,"Watercolour Enigma, The",Nonfiction,2018-04-03,9781782215615,0257.txt
258,Chretien de Troyes,Arthurian Romances,Classics,1991-06-04,9780140445213,0258.txt
259,"Randy Burgess, Carl Baldassarre, Theresa Hamacher, CFA",The Pocket Idiot's Guide to Investing In Stocks,Nonfiction,2006-03-07,9781592574735,0259.txt
260,Albert J. Raboteau,A Fire in the Bones,Nonfiction,1996-12-19,9780807009338,0260.txt
261,Jacky Davis,Ladybug Girl Plays,Children’s Books,2013-03-07,9780698188792,0261.txt
262,Maxine Hong Kingston,China Men,Fiction,1989-04-23,9780679723288,0262.txt
263,Edward Tenner,Why Things Bite Back,Nonfiction,1997-09-02,9780679747567,0263.txt
264,Els Van Diggele,A People Who Live Apart,Nonfiction,2003-08-01,9781591020769,0264.txt
265,Bertrice Small,The Border Vixen,Fiction,2011-12-06,9780451235275,0265.txt
266,Nina de Gramont,Of Cats and Men,Fiction,2008-12-18,9780307488992,0266.txt
267,Kate Constable,The Waterless Sea,Teen & Young Adult,2005-03-22,9781400090280,0267.txt
268,Clea Hantman,30 Days to Finding and Keeping Sassy Sidekicks and BFFs,Teen & Young Adult,2009-04-14,9780375891960,0268.txt
269,Lucy Margaret Rozier,Jackrabbit McCabe and the Electric Telegraph,Children’s Books,2015-09-08,9780385378437,0269.txt
270,Moira J. Moore,Heroes Adrift,Fiction,2008-02-26,9780441015986,0270.txt
271,Various,American Science Fiction: Nine Classic Novels of the 1950s,Fiction,2012-09-27,9781598531572,0271.txt
272,MaryJanice Davidson,Undead and Unforgiven,Fiction,2015-10-06,9780425282939,0272.txt
273,Guy Gavriel Kay,The Last Light of the Sun,Fiction,2005-04-05,9780451459855,0273.txt
274,Roger Hargreaves,Little Miss Trouble and the Mermaid,Children’s Books,2008-05-01,9780843132779,0274.txt
275,"Nicola Sacco, Bartolomeo Vanzetti",The Letters of Sacco and Vanzetti,Classics,2007-08-28,9781101201534,0275.txt
276,Anita Brookner,Brief Lives,Fiction,1992-04-07,9780679737339,0276.txt
277,Sylvan Learning,5th Grade Jumbo Math Success Workbook,Children’s Books,2010-07-06,9780307479211,0277.txt
278,"Julianna Margulies, Paul Margulies",Three Magic Balloons,Children’s Books,2016-05-10,9781101935231,0278.txt
279,Christina Orchid,Christina's Cookbook,Nonfiction,2011-02-01,9781570617690,0279.txt
280,Nora Gaydos,Now I'm Reading! Level 2: Amazing Animals,Children’s Books,2016-04-19,9781524710248,0280.txt
281,Thomas McGuane,Cloudbursts,Fiction,2018-03-06,9780385350211,0281.txt
282,Roger Hargreaves,Mr. Good,Children’s Books,2010-01-07,9780843133349,0282.txt
283,Tomie dePaola,Fin M'Coul,Children’s Books,1981-01-01,9780823403851,0283.txt
